city,city_label,vpn,mean_down_mbps,paired_measurements,baseline_down_mbps,retention_pct,retention_basis,stat,verdict
au-perth,パース,nordvpn,689.0,1,850,81.1,mean-ratio,mean,insufficient
au-perth,パース,surfshark,642.0,1,850,75.5,mean-ratio,mean,insufficient
au-sydney,シドニー,nordvpn,314.3,3,600,52.4,mean-ratio,mean,insufficient
au-sydney,シドニー,surfshark,242.7,3,600,40.4,mean-ratio,mean,insufficient
br-saopaulo,サンパウロ,nordvpn,300.0,2,500,60.0,mean-ratio,mean,insufficient
br-saopaulo,サンパウロ,surfshark,273.5,2,500,54.7,mean-ratio,mean,insufficient
de-frankfurt,フランクフルト,nordvpn,335.0,2,600,55.8,mean-ratio,mean,insufficient
de-frankfurt,フランクフルト,surfshark,328.5,2,600,54.8,mean-ratio,mean,insufficient
gb-edinburgh,エディンバラ,nordvpn,1715.0,1,,,mean-ratio,mean,insufficient
gb-edinburgh,エディンバラ,surfshark,2156.0,1,,,mean-ratio,mean,insufficient
gb-glasgow,グラスゴー,nordvpn,1663.0,1,,,mean-ratio,mean,insufficient
gb-glasgow,グラスゴー,surfshark,2153.0,1,,,mean-ratio,mean,insufficient
gb-london,ロンドン,nordvpn,712.6,9,790,90.2,mean-ratio,mean,even
gb-london,ロンドン,surfshark,713.5,9,790,90.3,mean-ratio,mean,even
gb-manchester,マンチェスター,nordvpn,2057.0,1,,,mean-ratio,mean,insufficient
gb-manchester,マンチェスター,surfshark,2088.0,1,,,mean-ratio,mean,insufficient
jp-tokyo,東京,nordvpn,444.9,9,780,57.0,mean-ratio,mean,decided
jp-tokyo,東京,surfshark,399.9,9,780,51.3,mean-ratio,mean,decided
kr-incheon,仁川・ソウル,nordvpn,147.0,1,300,49.0,mean-ratio,mean,insufficient
kr-incheon,仁川・ソウル,surfshark,217.0,1,300,72.3,mean-ratio,mean,insufficient
sg,シンガポール,nordvpn,258.7,3,610,42.4,mean-ratio,mean,insufficient
sg,シンガポール,surfshark,257.0,3,610,42.1,mean-ratio,mean,insufficient
us-la,ロサンゼルス,nordvpn,358.8,5,530,67.7,mean-ratio,mean,decided
us-la,ロサンゼルス,surfshark,305.8,5,530,57.7,mean-ratio,mean,decided
us-nyc,ニューヨーク,nordvpn,598.9,7,760,78.8,mean-ratio,mean,even
us-nyc,ニューヨーク,surfshark,556.6,7,760,73.2,mean-ratio,mean,even
us-seattle,シアトル,nordvpn,903.0,1,1000,90.3,mean-ratio,mean,insufficient
us-seattle,シアトル,surfshark,752.0,1,1000,75.2,mean-ratio,mean,insufficient
